Standard Bangla,Chittagong,Noakhali,Barishal
এই শালার পো শালা তোর কি না খাইয়া কাম নাই,এই আলারফুয়া আলা তর কি হাই দায় হাম নাই?,এই হালারহুত হালা তোর কি খাই দাই কম নাই ?,এ হালার পো হালা তোর কি খাইয়া লইয়া কাম নাই?
এই সমস্ত বান্দির পোলা দের জন্য খেলোয়াড়দের ইমেজ নষ্ট হয়,এই সমস্ত বান্দির ফুয়ার লাই খেলোয়াড়রোর ইমেজ নষ্ট হই।,এই সমস্ত বান্দির হুতেরগো লাই খেলোয়াড় গো ইমেজ খারাপ ওয়।,এই হগল বান্দির পোলাগো লইগ্যা খেলোয়ারগো ইমেজ নষ্ট অয়।
"এই সাব্বির, তোকে কি ছোট থাকতে মানুষের পোন্দাইছে ?? তুই তো একটা খাসা মাল তোরে তো পোন্দানো যায়। তোর পুটকিমারতে তো মেয়েদের চেয়ে আরো বেশি মজা লাগবে আমার।","এই সাব্বিরজ্জে, তোরে কি সোড থাইকতু মানুষে ফোন্দাইয়ি? তুইতো উগ্গো হাসা মাল তোরে তো ফোন্দানো যাই।তোর ফুটকি মাইরতু তো মাইয়াফুয়ার তুন আর বেশি মজা লাইবু।","এই সাব্বিররা, তোরে কি ছোট থাইকতে মানুষে হোন্দাইসে? তুই তো একটা খাসা মাল তোরে তো হোন্দানো যায়। তোর ফুটকি মাইরতে তো মাইয়াগো তুন আরো বেশি মজা।",এ সাব্বির তোরে ল্যাদা থাকতে কি মাইনসে পোন্দাইছে? তুই তো এউক্কা খাসা মাল তোরে তো পোন্দানো যায়। তোর হোগা মারতে মাইয়াগো চাইতে বেশি মজা লাগবে মোর।
এই সালা <br /> জুতা মারো,"এই হালা, জুতা মার।","এই হালা, জোতা মারো।",এই হালারে জোতা মার।
একটা লাইক মানে পাপনের গালে একটা করে জুতার বাড়ি ���,উগ্গো লাইক মানি ফাফিন্নার গালত উগ্গো গরি জুতার বাড়ি।,ইগ্গা লাইক মানে পাপইন্নার গালে ইগ্গা করি জুতার বাই।,এউক্কা লাইক মানে পাপনের গালে এউক্কা জোতার বাড়ি।
এখনো সময় আছে পাপন খানকির পড়ে ক্রিকেট বোর্ড থেকে সরিয়ে ফেলা হোক,এযু সময় আছে পাপন হানকির ফুয়ারে ক্রিকেট বোর্ডত্তুন সরায় ফেলা অক।,অনো সময় আসে পাপইন্না খানকিরহুতেরে ক্রিকেট বোর্ডের তুন সরাই হালন।,এহনো সময় আলহে পাপন খাঙ্কিরপোরে কিরিকেট বোর্ডদা হরাইয়া হালানো হোক।
এবার ঠেলা সামলা পাপন সাহেব শালা তুই সব লুটেপুটে খাচ্ছে তাহলে কইয়া দিমু,"এবার টেলা সামলা ফাফন সাব। হালা তুই বেগ লুডি ফুডি হর, তইলি হয় দিয়ুম।","অন ঠেলা সামলা পাপন সাব। হালা তুই বেক লুডি খাওরি, তাইলে কই দিমু।",এহন ঠেলা সামলা পাপন সাব তুই হগল লুইট্টা ফুইট্টা খাইছো। হ্যালে কইয়া দিমু।
এর জন্য দায়ি শেই পাপনতার ওইনইতিক রাজনিতির কারনেআজ সাকিবের এই হাল। পাপনের দুই গালে জুতা মার তালে তালে,"এতাল্লাই দায়ী ফাফইন্না, ইতার অনৈতিক রাজনীতির হারনে আজিয়া সাকিব্বার এই আল।ফাফইন্নার দুই গালে জুতা মার তালে তালে।","এটারলাই দাই হেতে নিজেই, পাপইন্না অনৈতিক রাজনীতির কারণে আইজ সাকিবের এই অবস্তা। পাপইন্নার দুই গালে জুতা মারো তালে তালে।",এইয়ার লইগ্যা হেই পাপন দায়ি। হ্যার অনৈতিক রাজনীতির লইগ্যা আইজ সাকিব্বার এই হাল। পাপইন্নার দুই গালে জোতা মারো তালে তালে।
এর মারে আর এর বেনেরে সবাই মিলি চোদেন জাতে এই মাগির পোলা ভাল ভাল নিউচ করে খান কি মাগির পোলা ভাল হয়ে জা,ইতার মারে আর বোইনোরে বেগ্গুন মিলি সোদন যাতে এই মাগীর ফোয়া ভালা ভালা নিউস গরে। হানকি মাগীর ফুয়া ভালা ওই যা।,এতের মারে আর এতের বইনেরে বেকে মিলি হোন্দেন যাতে এই মাগিরহুত বালা বালা নিউজ করে। খানকিরহুত বালা ওই যা।,হ্যার মায়রে আর বইনরে সবাই মিল্যা চোদেন যাতে মাগিরপো  ভালো ভালো নিউজ কইর‍্যা খায়। এই মাগির পো ভালো অইয়া যা।
এসব আচোদা হুজুরেরা আমাদের ধর্ম ইসলাম কে হাইজ্যাক করছে,ইন আসোদা উজুর অক্কল আরার ধর্মত ইসলামরে আইজাক গরজ্জে।,এইসব আসোদা হুজুরেরা আঙ্গো ধর্ম ইসলাম এরে হাইজ্যাক কইচ্ছে ।,এরহম আচোদা হুজুরগুলা মোগো ধর্ম ইসলাম রে হাইজ্যাক হরছে।
ওই শালা ওই শালা বাইনচোদ তোর কি কুত্তা দিয়ে জন্মদিনে যারা বানায় মানুষের মরা লাশ,ওই হালা ওই হালা বাইন্চোত তোরে কি কুত্তা দি জন্ম দিয়ি না। যারা মানুষর মরা লাশ বানা।,"ওই হালা ওই হালা বাইনচোদ তোরে কি কুত্তা দিয়া জন্ম দিসে, যেগুন বানায় মাইনষের মরা লাশ।",ওই হালা ওই হালা বাইঞ্চোদ তোরে কি কুত্তাইদ্যা জন্ম দেছে। যেগুলাইয় বানায় মাইনসের লাশ।
"ওর ধন কেটে দিয়ে,খেলাতে দেওয়া দরকার।তানাহলে আবার মাগিগো নিয়া আবার মাগি খেলা করবে।",ইতারার ধন হাডি দি খেলাত দন দরহার।তা ন ওইলে আবার মাগীগো লই আবার মাগী হেলা গরিবু।,হেতের সোনা কাডি খেলাতে দি দন। তা নইলে আবার মাগী গোরে লই আবার মাগী খেলা খেলবো।,অর ধোন কাইট্টা দিয়া খ্যালতে দেওয়া উচিৎ। নাইলে আবার মাগিগো লইয়া আবার মাগি খ্যালা হরবে।
ওরা জন মিলে তাসকিনের থাপ্রাইলে ভিডিওটি আরো ভাল হত।আবালের দলগুলো।,ইতারা এতজন মিলি তাসকিন্নার ফোফাইলর ভিডিওগ আর বালা ওইতো।আবলর দল ইন।,এগুন কয়জন মিলি তাসকিন্নারে সোবাইলে ভিডিওগা আরো বালা ওইতো। আবাইল্লার দল।,অরা কয়জন মিল্লা তাসকিনরে থাপরাইলে ভিদিওডা আরো ভালো হইতে। আবালের দলগুলা।
ওরে এভাবে অত্যাচার করার অধিকার কে দিয়েছে আমার কাছে তুই আয় তোর নেতামি তোর হুগার মদ্ধে ধুকাবো সালারপুত ��,"ইতারে এভাবে ওইত্তাসার গরিবার অধিহার হনে দিয়ে? আর হাসে তুই আয়, তোর নেতামি তোর ওগার মইদ্যে ঢুহাইয়ুম আলারফুত।","হেতেরে এইভাবে অত্যাচার করার অধিকার কনে দিসে? আঁর কাছে আয় তুই, তোর নেতাগিরি তোর হোন্দের বিত্তে ঢুকাই দিমু হালারহুত।","অরে এইরহম অত্যাচার করার অধিকার কেডা দেছে মোর ধারে তুই আয়, তোর নেতামি তোর হোগার মধ্যে ঢুকাইয়া দিমু হালারপোহালা।"
কথা একটাই এই আবাল পাপন রে ক্রিকেট থেকে আগে সরাতে হবেকারন এই খবর ও কোথায় থেকে শুনেছে সেটা বের করলেই সে ধরা,"হতা উগ্গাই এই আবাল ফাফইন্নারে ক্রিকেটরতুন আগে সরাম ফরিবু।এই হবর ইতি হডত্তুন উইন্ন,। ইবা বের গরিলি ইতি ধরা হাইবু","কতা ইগ্গাই এই আবাল পাপইন্নারে ক্রিকেট তুন আগে সরাইতে অইবো কারণ এই খবর হেতে কোনান তুন হুইনছে, হেটা বার করলেই হেতে ধরা।",কতা এউক্কাই এই আবার পাপইন্যারে কিরিকেটদ্যা আগে সরাইতে অইবে। কারণ এই খবর ও কতাইদ্যা হোনছে হেইডা বাইর হরলেই হে ধরা।
কাংকির পোলার দরকার নেই,হানকির ফুয়ার দরহার নায়।,খানকীরহুতের দরকার নাই।,খাংকির পোলার দরকার নাই।
কাংখির ফোলার রাস্তায় জন্ম হয়সে,হানকির ফুয়া রাস্তাত ঝন্ম অয়য়ি।,খানকীরহুতের রোডে জন্ম ওইসে।,খাংকির পোলাইয় পয়দা ওইছে রাস্তায়।
কালা পাঠা তুই একটা মেয়েৱ জীবন নিয়ে খেলাটা ঠিক হয় নাই,"খালা ফাদা তুই উগ্গা, মেওফার ঝীবন লই খেলাগো ঠিক ন অয়।","কালা হাঁডা তুই, ইগ্গা মাইয়ার জীবন লই খেলা ঠিক অয় নো।",কালা পাডা তোর এউক্কা মাইয়ার জীবন লইয়্যা খেলাডা ঠিক অয় নাই।
কুণ্ডার বাচ্চাকে আজীবন নিষিদ্ধ করা হোক।হালার পো কোন ভাল খেলা খেলতে পারেনি।মাঙ্গের পোরে বাদ দেওয়া হোক,কুত্তারবাইচ্চারে আঝীবন নিষিদ্ধ গরা অক।আলার ফুয়া হোন হেলা ভালা গরি খেলিত ন ফারে। মাঙ্গর ফুয়ারে বাদ দেয়া অখ।,কুত্তার বাইচ্ছারে আজীবনের লাই নিষিদ্ধ করন। হালারহুত কোনো বালা খেলা খেলতো হারে না। হেডালির হুতেরে বাদ দি দন।,কুত্তার বাচ্চারে হারা জীবনের জিন্যে নিষিদ্ধ হরুক। হালার পো হালা কোনো বালো খ্যালা খ্যালতে পারে নাই। মাঙ্গের পোলারে বাদ দেওয়া অউক।
কুমিল্লায় দেশি কয়টা বলদ খেলে তারা কুমিল্লাকে ডুবাইছে।,কুমিল্লাত দেশি হোয়া বলত খেলি ইতারা কুমিল্লারে ডুবাইয়ি।,কুমিল্লায় দেশী কোগা বলদ খেলে হেগুনেই কুমিল্লারে ডুবাইসে।,কুমিল্লায় দেশী কয়ডা বলদ খ্যালে অরারেমিল্লারে ডুবাইছে।
কোন কুত্তার বাচ্চায় ভিডিওটা ছাড়ছে????,হন কুত্তারবাইচ্চা ভিডিওগ সাইজ্জে?,কোন কুত্তার বাইচ্ছা ভিডিও ইয়া ছাইরসে?,কোন কুত্তার বাচ্চায় ভিডিওডা ছাড়ছে?
কোন মাগির ছেলের জন্য সকলেই নিষেধাক্কা দুর্ঘটনা এখনকার মাধ্যমে প্রকাশ হলো সেটাই জানেন না এই ঘটনা আমাদের বাংলাদেশ অনেক বড় ক্ষতি হবে না থাকাতে,"হোন মাগীর ফোয়ার লাই বেগ্গুন নিষেদাগ্গা দূর্ঘটনা এহনর মাইদ্দোমে ফ্রকাশ গরা ওইলু।ইবাই ন ঝানে, এই গডনা আরার বাংলাদেশত বওত বড় হতি ওইতো ন।","কোন মাগীর হুতেরলাই বেকে নিষেধাজ্ঞা, কোন মাধ্যমে প্রকাশ করা ঐসে হেটাই জানেন না। এই ঘটনা আনগো বাংলাদেশের লাই অনেক ব ক্ষতি ওইবো না থাকনে।",কোন মাগির পোলার জিন্যে সবাই নিসেধাজ্ঞা। দুর্ঘটনা এইহানকার মাধ্যমে প্রকার অইলো হেডাই জানেন না। এই ঘটনা মোদের বাংলাদেশের অনেক বড় ক্ষতি অইবে না থাকতে।
কোয়াব সভাপতি শালায় বলে পদত্যাগ করবে না��,হয়াব সবাফতি আলাই বলে ফদত্যাগ গরত্তো ন।,কোয়াব সভাপতি হালায় বলে পদত্যাগ কইরতোনো।,কোয়াব সভাপতি হালায় বলে পদত্যাগ হরবে না।
ক্রিকেটারদের আগে জনগনের কাছে চলে আসছে তুমি শালাবাবু চোর। তুমি এবং তোমার ছেলা পেলার পদত্যাগই বিসিবির উন্নতি। বাংলাদেশ ক্রিকেটের উন্নতি।,"ক্রিকেটার অক্কল আগে ঝনগনর হাসে সলি আইস্সি।তুই আলা বাবু সোর।তুই আর তর ফোয়ার ফদত্যাগি বিসিবির উন্নতি, বাংলাদেশ ক্রিকেটর উন্নতি।",ক্রিকেটারগোর আগে পাবলিকের কাছে চলি আইসে তুই হালারহুত চোর।,ক্রিকেটারদের আগেই মানুজন জাইন্যা গেছে তুমি হালা চোর। তুমি আর তোমার চ্যালাপ্যালা পদত্যাগ মানেই বিসিবির উন্নতি। ক্রিকেটের উন্নতি।
খানকি মাগি,হানকি মাগী।,খানকি মাগী।,খানকি মাগি।
খানকিপোলা এতো গালি খাস তার পরও ভিডিও ছাড়স কেন মাগির পুত,হানকির ফুয়া এত গালি হস তাও ভিডিও দস কেন মাগীর ফুয়া,খানকিরহুত এতো গালি খাস হেয়ার হরেও ভিডিও ছারস কেন মাগীর হুত?,খানকির পোলা আতো খামার হোণো হ্যারপরো ভিডিও ছারো ক্যা মাগির পোলা।
খানকির ছেলে পাপন।,হানকি মাগীর ফুয়া ফাফইন্না,খানকীরহুত পাপইন্না,খানকির পোলা পাপন।
খানকির পােলা গানকই,হানকির ফুয়ার গান হডে,খানকীর হুত গান কই,খানকির পোলা গান কই?
খানকির পুত মালাউন তর বুন কে গাইর মারি মালাউন তুরা আর কি হবি কুকুর ও চুদে তর বুনকে আর গরু চুদে তর মা কে আর মহিশ চুদে তর বাবা কে কুকুর চুদে তকে মালাউন সুওরের বাচ্চা এই রকম মিত্যা নিউজ কেন দেস মালাউন,হানকির ফুয়া মালা উন তোর বোইনরে গাইর মারি। মালাউন তোরা আর কি ওবি।কুত্তাও সুদে তোর বোইনরে। আর গরু সুদে তোর মারে। আর মহিষ সুদে তোর বাবরে। আর কুত্তা সুদে তোরে। মালাউন শুরুবাইচ্চা এরহম মিসা হবর কেনে দস।,খানকীরহুত মালাউন তোর বইনেরে গাইল্লাই। মালাউন তোরা আর কিয়া ওইবি। কুত্তাও চুদে তোর বইনরে আর গরু চুদে তোর মারে। আর মহিষ চুদে তোর বাপরে। কুত্তা চুদে তোরে মালাউন। শুয়োরের বাইচ্ছা এইচ্ছা মিসা খবর দস কা মালাউন ,"খানকির পোলা মালাউন তোর বোনরে খামার দি মালাউন তোর আর কি অইবে। কুত্তা চোদে তোর বোনরে, আর গরু চোদে তোর মা রে আর মহিশ চোদে তোর বাবা রে, কুত্তা চোদে তোকে মালাউন সু্যারের বাচ্চা এই রকম মিথ্যা খবর দ্যাও ক্যা মালাউন।"
খানকির পো তো বাট বাট চোদাস ক্যন বসি বাট বাট করলে তোর পাছায় দিমু পেপে গাচের ডাট,মালাউন হানকির ফুয়া বেট বেট সোদাস কেনে বইয়েরে বেট বেট গইল্লি বরি দিয়ুম তোর পাসাত ফেফে গাসর দাঠ।,খানকীরহুত তো বাট বাট চোদাস কা বেশি বাট বাট কইরলে তোর হোন্দে দি পেঁপে গাছের ডাট ভরি দিমু।,খানকির পো তো বাট বাট চোদাও ক্যা বেসি বাট বাট হরলে তোর পাছায় দিমু পোম্বা গাছের ডান্ডা।
